0	|	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	
1	|	 0.100000	 0.300000	 0.500000	 0.700000	 0.100000	 0.700000	 2.100000	
2	|	 0.133000	 0.457000	 0.798000	 1.132000	 0.123000	 1.098000	 3.965000	
3	|	 0.133800	 0.529270	 0.964940	 1.389700	 0.110780	 1.310020	 5.636060	
4	|	 0.121540	 0.552426	 1.046967	 1.534084	 0.085941	 1.408654	 7.142807	
5	|	 0.106238	 0.548066	 1.074260	 1.605012	 0.060003	 1.439220	 8.507399	
6	|	 0.092707	 0.529151	 1.066659	 1.628643	 0.038239	 1.429906	 9.747023	
7	|	 0.082886	 0.503338	 1.037264	 1.622211	 0.022523	 1.398161	 10.875484	
8	|	 0.077194	 0.475050	 0.994755	 1.597098	 0.012979	 1.354701	 11.904221	
9	|	 0.075313	 0.446761	 0.944895	 1.560837	 0.008921	 1.306033	 12.842955	
10	|	 0.076620	 0.419772	 0.891502	 1.518410	 0.009358	 1.256042	 13.700119	
11	|	 0.080416	 0.394701	 0.837097	 1.473102	 0.013271	 1.206980	 14.483143	
12	|	 0.086043	 0.371772	 0.783320	 1.427062	 0.019729	 1.160097	 15.198650	
13	|	 0.092933	 0.350990	 0.731220	 1.381677	 0.027947	 1.116025	 15.852587	
14	|	 0.100619	 0.332248	 0.681441	 1.337819	 0.037287	 1.075026	 16.450327	
15	|	 0.108735	 0.315386	 0.634352	 1.296014	 0.047254	 1.037142	 16.996744	
16	|	 0.117001	 0.300228	 0.590134	 1.256553	 0.057472	 1.002289	 17.496271	
17	|	 0.125210	 0.286599	 0.548842	 1.219570	 0.067662	 0.970316	 17.952946	
18	|	 0.133216	 0.274333	 0.510448	 1.185094	 0.077628	 0.941038	 18.370453	
19	|	 0.140917	 0.263281	 0.474866	 1.153086	 0.087234	 0.914258	 18.752157	
20	|	 0.148248	 0.253309	 0.441976	 1.123461	 0.096392	 0.889781	 19.101130	
21	|	 0.155169	 0.244299	 0.411637	 1.096109	 0.105048	 0.867417	 19.420177	
22	|	 0.161663	 0.236146	 0.383699	 1.070904	 0.113175	 0.846988	 19.711866	
