59	|	 0.233936	 0.155640	 0.089738	 0.805361	 0.204081	 0.638434	 22.710335	
60	|	 0.234177	 0.155391	 0.088793	 0.804500	 0.204363	 0.637747	 22.719904	
61	|	 0.234398	 0.155164	 0.087929	 0.803713	 0.204621	 0.637119	 22.728649	
62	|	 0.234599	 0.154956	 0.087140	 0.802993	 0.204857	 0.636545	 22.736641	
63	|	 0.234783	 0.154766	 0.086418	 0.802336	 0.205072	 0.636020	 22.743944	
64	|	 0.234951	 0.154592	 0.085759	 0.801735	 0.205269	 0.635541	 22.750620	
65	|	 0.235105	 0.154434	 0.085156	 0.801186	 0.205449	 0.635103	 22.756720	
66	|	 0.235245	 0.154289	 0.084605	 0.800684	 0.205613	 0.634702	 22.762295	
67	|	 0.235373	 0.154156	 0.084102	 0.800225	 0.205763	 0.634336	 22.767389	
68	|	 0.235491	 0.154035	 0.083642	 0.799806	 0.205901	 0.634002	 22.772045	
69	|	 0.235598	 0.153925	 0.083222	 0.799423	 0.206026	 0.633696	 22.776300	
70	|	 0.235696	 0.153823	 0.082838	 0.799072	 0.206141	 0.633417	 22.780190	
71	|	 0.235785	 0.153731	 0.082487	 0.798752	 0.206246	 0.633161	 22.783745	
72	|	 0.235867	 0.153646	 0.082166	 0.798460	 0.206341	 0.632928	 22.786993	
73	|	 0.235942	 0.153569	 0.081872	 0.798193	 0.206429	 0.632715	 22.789963	
74	|	 0.236010	 0.153499	 0.081604	 0.797948	 0.206509	 0.632520	 22.792675	
75	|	 0.236073	 0.153434	 0.081359	 0.797725	 0.206582	 0.632342	 22.795155	
76	|	 0.236130	 0.153375	 0.081136	 0.797521	 0.206649	 0.632179	 22.797421	
77	|	 0.236182	 0.153321	 0.080931	 0.797335	 0.206710	 0.632030	 22.799492	
78	|	 0.236230	 0.153272	 0.080744	 0.797164	 0.206766	 0.631895	 22.801384	
79	|	 0.236273	 0.153227	 0.080573	 0.797009	 0.206817	 0.631770	 22.803114	
80	|	 0.236313	 0.153186	 0.080417	 0.796866	 0.206863	 0.631657	 22.804695	
81	|	 0.236349	 0.153149	 0.080274	 0.796736	 0.206906	 0.631553	 22.806141	
82	|	 0.236383	 0.153114	 0.080144	 0.796617	 0.206945	 0.631458	 22.807461	
83	|	 0.236413	 0.153083	 0.080025	 0.796509	 0.206980	 0.631371	 22.808668	
84	|	 0.236441	 0.153054	 0.079916	 0.796409	 0.207013	 0.631292	 22.809771	
85	|	 0.236466	 0.153028	 0.079816	 0.796319	 0.207043	 0.631220	 22.810778	
86	|	 0.236490	 0.153004	 0.079725	 0.796236	 0.207070	 0.631154	 22.811699	
87	|	 0.236511	 0.152982	 0.079642	 0.796160	 0.207095	 0.631093	 22.812540	
88	|	 0.236530	 0.152962	 0.079566	 0.796091	 0.207117	 0.631038	 22.813309	
89	|	 0.236548	 0.152944	 0.079497	 0.796027	 0.207138	 0.630988	 22.814013	
90	|	 0.236564	 0.152927	 0.079433	 0.795970	 0.207157	 0.630941	 22.814655	
91	|	 0.236579	 0.152912	 0.079375	 0.795917	 0.207174	 0.630899	 22.815243	
92	|	 0.236592	 0.152898	 0.079322	 0.795868	 0.207190	 0.630861	 22.815779	
93	|	 0.236605	 0.152885	 0.079274	 0.795824	 0.207205	 0.630825	 22.816269	
94	|	 0.236616	 0.152873	 0.079229	 0.795784	 0.207218	 0.630793	 22.816717	
95	|	 0.236626	 0.152863	 0.079189	 0.795747	 0.207230	 0.630764	 22.817127	
96	|	 0.236636	 0.152853	 0.079152	 0.795713	 0.207241	 0.630737	 22.817501	
97	|	 0.236644	 0.152844	 0.079118	 0.795682	 0.207251	 0.630712	 22.817842	
98	|	 0.236652	 0.152836	 0.079087	 0.795654	 0.207260	 0.630690	 22.818155	
99	|	 0.236659	 0.152829	 0.079059	 0.795629	 0.207269	 0.630669	 22.818441	
100	|	 0.236666	 0.152822	 0.079033	 0.795605	 0.207276	 0.630651	 22.818703	
101	|	 0.236672	 0.152816	 0.079010	 0.795584	 0.207283	 0.630634	 22.818941	
102	|	 0.236677	 0.152810	 0.078988	 0.795564	 0.207290	 0.630618	 22.819159	
103	|	 0.236682	 0.152805	 0.078968	 0.795546	 0.207296	 0.630604	 22.819359	
104	|	 0.236687	 0.152800	 0.078950	 0.795530	 0.207301	 0.630590	 22.819542	
105	|	 0.236691	 0.152796	 0.078934	 0.795515	 0.207306	 0.630578	 22.819708	
106	|	 0.236695	 0.152792	 0.078919	 0.795501	 0.207310	 0.630568	 22.819860	
107	|	 0.236699	 0.152788	 0.078905	 0.795488	 0.207315	 0.630558	 22.820000	
108	|	 0.236702	 0.152785	 0.078893	 0.795477	 0.207318	 0.630548	 22.820127	
109	|	 0.236705	 0.152782	 0.078881	 0.795466	 0.207322	 0.630540	 22.820244	
110	|	 0.236707	 0.152779	 0.078871	 0.795457	 0.207325	 0.630532	 22.820351	
111	|	 0.236710	 0.152776	 0.078861	 0.795448	 0.207328	 0.630525	 22.820448	
112	|	 0.236712	 0.152774	 0.078852	 0.795440	 0.207330	 0.630519	 22.820536	
113	|	 0.236714	 0.152772	 0.078844	 0.795433	 0.207333	 0.630513	 22.820618	
114	|	 0.236716	 0.152770	 0.078837	 0.795426	 0.207335	 0.630508	 22.820692	
